data	target
taiwan curb inflow foreign exchange taiwan central bank announce today overseas foreign exchange borrowing local foreign bank freeze level reach end may central bank statement add measure effective end july banker say measure design curb inflow foreign exchange slow growth money supply add move spark record single day plunge local stock market limit ability lend foreign exchange importer exporter foreign exchange borrowing local foreign bank reach almost billion u.s . dlrs end april accord official statistic last week central bank say today reduce purchase forward u.s . dollar bank pct pct value contract say move need distortion foreign exchange market exporter nervous appreciate taiwan dollar heavily sell forward u.s . dollar interbank market avoid exchange rate loss official figure show forward u.s . dollar sale may reach record almost six billion u.s . dlrs billion april taiwan foreign exchange earning must convert local dollar boost money supply time booming export money supply rise seasonally adjust pct year end april raise fear high inflation march central bank clamp tight restriction remittance foreign exchange company individual taiwan move curb inflow speculative money economist banker estimate rise value local dollar attract ten billion u.s . dlrs speculative money taiwan since early last year flow mainly hong kong japan u.s . since september taiwan dollar rise pct u.s . dollar banker say government effort stabilise foreign exchange market prelude lift curb capital outflow central bank say control will drop end july early august foreign exchange dealer say today announcement cause jitter market foreign local bank make heavy purchase u.s . dollar say central bank sell mln u.s . dlrs taiwan stock market plunge record point close	money-fx
lex service buy sears motor group lex service plc lt lexl say acquire lt sears motor group ltd retail motor distribution arm sears plc lt sehl mln stg loan note payable sears motor mln stg purchase will mln stg cash issue sears plc mln new lex ordinary share company say statement immediately follow acquisition motor group car commercial vehicle contract hire fleet vehicle sell lt lex vehicle leasing ltd mln stg cash sum equal net book value vehicle transfer lex vehicle equally lex service lt lombard north central plc lex say share involve transaction today place sears plc institution share will qualify final lex dividend april lex say statement acquisition sears motor group represent major development automotive activity enlarged retailing operation lex automotive group now turnover mln stg lex exist automotive interest include volvo concessionaire sole importer volvo car part u.k . lex say turnover sears motor group year december mln stg date acquisition group mln stg external borrowing lex share fall announcement trade around close yesterday	acq
gencorp lt gy sell general tire gencorp inc continental ag hanover west germany jointy announce sign agreement continental buy gencorp general tire inc subsidiary mln dlrs cash agreement company say continental will acquire general tire include relate domestic foreign operation gencorp will retain liability medical benefit retire general tire employee retire november sale expect complete november one subject meet certain condition continental europe second large tire producer last year company sale billion dlrs billion dlrs generate tire operation last year general tire operate profit mln dlrs sale billion dlrs gencorp operate profit mln dlrs sale billion dlrs gencorp spokesman rip tilden say company will retain mln dlrs liability former general tire employee agreement tilden say gencorp will use proceed sale reduce billion dlr debt april gencorp sucessfully thwart takeover partnership form afg industries inc lt afg wagner brown restructure program include purchase pct mln share common dlrs share total billion dlrs part restructure gencorp also say plan sell tire business bottle operation rko general inc subsidiary rko remain broadcast property focus company aerospace automotive component business tilden say gencorp expect realize mln dlrs tax proceed end result sale several piece nonbroadcast asset company include general tire price pay general tire cause reevaluate estimate say tilden general tire employ people worldwide four tire manufacturing plant u.s . one canada statemnet william reynolds gencorp chairman say sale general tire represent critical accomplishment plan restructure gencorp reynold also say gencorp previously announce sale business proceed satisfactorily among piece gencorp empire remain sell rko bottle operation gencorp agree sell rko khj tv station walt disney co lt dis mln dlrs deal await approval federal communications commission gencorp also receive dlrs tax sale rko wor tv	acq
u.k . money market give mln stg early help bank england say provide just mln stg assistance money market response early round bill offer early bank estimate shortage system today around billion stg central bank purchase bill resale market april interest rate pct	money-fx
unibancorp inc lt ubcp regular dividend set qtly div ct vs ct previously pay april record march	earn
total still expect billion franc loss french oil group total cie francaise des petrole lt tpn pa still expect billion franc consolidated net loss include minority interest take account stock loss billion franc company say communique board meeting late january group president francois xavier ortoli tell journalist slump oil price weak dollar cause stock depreciation turn consolidated net profit loss stock six billion franc consolidated net loss billion franc early today armand guilbaud president total refining distribution subsidiary cie de raffinage distribution crd total france lt raff pa tell journalist mark return profit subsidiary stock depreciation crd make net profit stock depreciation currency factor billion franc last year billion loss net loss last year take account depreciation well currency fluctuation billion franc billion loss crd sale fall pct mln tonne mln due growth import independent distributor follow relaxation regulation guilbaud say subsidiary expect cut workforce year last year job reduction scheme will eventually save group mln franc say concern business say january good month situation deteriorate february	earn
kurzweil music systems inc lt kurm th qtr loss shr loss ct vs loss ct net loss vs loss revs vs avg shrs vs year shr loss ct vs loss dlrs net loss vs loss revs vs avg shrs vs	earn
wtc shareholder approve pittston lt pco buyout pittston co say wtc international n.v . shareholder approve acquisition company pittston term transaction call pittston exchange common share outstanding wtc share pittston say wtc engage domestic international air freight ocean surface freight forwarding consolidation distribution service	acq
anime lt vet expect turn profitable animed inc say expect return profitability current year today report loss first quarter end january dlrs compare dlr profit year	earn
great lt gami buy standard lt srd unit asset great american management investment inc say pct subsidiary agree buy certain asset two subsidiary standard oil co mln dlrs assumption certain liability great american industrial group inc agree acquire u.s . united kingdom asset pfaudler co stock certain brazilian mexican west german subsidiary kennecott mining corp say pfaudler kennecott subsidiary standard oil	acq
avery lt avy st qtr feb net shr ct vs ct net mln vs mln sale mln vs mln	earn
enseco inc lt ncco th qtr loss oper shr loss six ct vs profit seven ct oper net loss vs profit revs vs avg shrs mln vs mln year oper shr loss six ct vs profit ct oper net loss vs profit revs mln vs mln avg shrs mln vs mln note exclude extraordinary credit four ct share fourth quarter ct year	earn
chariot group inc lt cgr rd qtr net shr ct vs two ct net vs revs mln vs avg shrs vs nine mth shr ct vs ct net vs rev mln vs mln note per shr datum adjust reflect pct stock dividend distribute nd qtr	earn
supermarkets general corp th qtr ct vs ct supermarkets general corp th qtr ct vs ct	earn
lt strathfield oil gas ltd year net shr ct vs ct net vs rev vs	earn
correct hecla lt hl buy mine stake bp hecla minging co say agree purchase pct interest green creek joint venture british petroleum co plc lt bp amselco minerals inc unit venture expect bring production gold silver lead zinc ore body admiralty island alaska contain short ton ore assay ounce gold ounce silver pct zinc pct lead per short ton hecla say say significant potential discovery additional ore correct last assay result lead zinc	acq
total system service lt tsy st qtr net shr nine ct vs seven ct net vs rev vs	earn
sec probe tre lt tre takeover attempt federal securities exchange commission sec look possible security law violation connection unsuccessful bid hollywood producer burt sugarman take tre corp attorney contact sec investigator say takeeover attempt unit sugarman giant group ltd one point hold pct stake tre help effort jefferies group inc los angeles investment banking firm sell option portion share sugarman eventually acquire addition company control sugarman raise mln dlrs debt offering underwrite drexel burnham lambert inc help jefferie use portion proceed buy tre stock finally reliance group holdings inc acquire nearly six pct tre accord seec file attorney ask identify say sec investigate whether sugarman firm tre holding work together without disclose cooperation require federal security law one attorney say sec prober also examine whether sugarman drexel make adequate disclosure intended usage proceed prospectus mln dlr bond offer tre spokesman confirm tre since december unit aluminum co america contact sec investigator cooperate probe spokesman add tre chairman leopold wyler interview sec prober jefferie spokesman say sec ask information month ago part informal probe spokesman say jefferie cooperate agency hear nothing since time good knowledge jefferie target formal sec investigation connection tre bid say drexel spokesman acknowledge firm underwrite debt offering sugarman add nothing tre matter policy sec routinely decline comment enforcement activity	acq
general cinema corp lt gcn common stock dividend qtly div ct vs ct prior pay april recrod april nine	earn
herley microwave lt hrly nd qtr jan net shr nine ct vs ct net vs rev mln vs four mln six month shr ct vs ct net vs rev mln vs mln note company full name herley microwave systems inc	earn
ice unchanged soviet oil port ventspil ice condition unchanged soviet baltic oil port ventspil continuous compact drift ice cms thick late report finnish board navigation say icebreaker assistance reach ventspil harbour need normal steel vessel without special reinforcement ice report say give detail ice condition major soviet baltic export harbour klaipeda	crude
brown forman lt bfdb set stock split payout brown forman inc say board approve three two stock split pct increase company cash dividend company cite improve earning outlook continue strong cash flow reason raise dividend brown forman say split class class common share effective march company say director declare quarterly cash dividend new share class ct payable april one holder record march prior split company pay ct quarterly brown forman today report pct increase third quarter profit mln dlrs dlr share seven pct increase sale record mln dlrs brown forman say nine month profit decline bit mln dlrs dlrs share mln dlrs dlrs share year early due second quarter charge ct share restructure beverage operation company say low corporate tax rate restructuring expect substantially improve brown forman earning cash flow fiscal	earn
thai rice export fall week april thailand export tonne rice week end april tonne previous week commerce ministry say say government private exporter ship tonne respectively private exporter conclude advance weekly sale tonne tonne previous week thailand export mln tonne rice far mln tonne year ago commitment export tonne year	grain
first chicago lt fnb unit buy bank first chicago corp american national bank unit say complete acquisition four suburban chicago bank combine asset mln dlrs bank national bank north evanston elgin national bank first national bank schiller park merchant manufacturer state bank melrose park american national now nine bank	acq
ltd lt skii nd qtr jan net shr ct vs ct net vs rev mln vs mln six mth shr ct vs ct net vs rev mln vs mln	earn
coopervision inc lt eye qtly dividend shr ct vs ct prior qtr pay april record april	earn
usda set provision producer producer acreage reduction program may eligible deficiency payment pct enrol acreage even though none plant wheat program crop u.s . agriculture department say department say provision farm disaster assistance act will available eligible winter wheat producer producer type wheat prevent plant wheat crop natural disaster producer operate farm program crop acreage basis subject flooding pct crop permit acreage producer enroll acreage reduction program may become eligible sign later july producer will inform local office application accept say department say producer wheat winter wheat may use option preventedf plant intend acreage wheat harvest natural disaster occur farm locate county approve farmer home administration emergency loan disaster occur	grain
mart lt km sell kresge mccrory mart corp say agree sell u.s . kresge jupiter store mccrory corp subsidiary privately hold rapid american corp say agreement cover store state include inventory fixture price depend amount inventory will store closing date mart say will continue operate store early june mccrory will take interruption service newly acquire kresge jupiter store will rename mccrory mccrory currently operate store state	acq
policy management lt pmsc make acquisition policy management systems corp say acquire majority asset business allied research inc salem ore consolidated insurance services inc springfield va undisclosed term say two company combine revenue two mln dlrs provide underwrite information service property casualty insurer	acq
apply solar energy corp lt solr nd qtr net qtr end may oper shr profit three ct vs loss five ct oper net profit dlrs vs loss revs vs six mth oper shr profit ten ct vs loss ct oper net profit vs loss revs mln vs note oper datum include extraordinary gain dlrs one ct per shr nd qtr dlrs four ct per shr six mth	earn
first boston lt fbc start allegheny lt ag bid first boston inc say start previously announce tender offer common share dlr cumulative preference share dlr convertible preferred share allegheny international inc dlrs dlrs dlrs respectively newspaper advertisement company say offer withdrawal rioght will expire april nine unless extend offer condition receipt least majority allegheny voting power fully diluted basis receipt least two third preference preferred share merger approve allegheny board remain common preference preferred share acquire tender price follow offer receipt minimum amount offer give first boston sufficient voting power assure approval merger without affirmative vote shareholder company say	acq
lt ivey property inc raise quarterly dividend ivey properties inc say raise quarterly dividend ct share ct declare extra dividend ct share pct stock dividend say dividend will pay april one shareholder record march stock dividend ivey say will pay fractional share dlrs per share	earn
westronic inc lt wstx year loss shr loss dlr vs loss dlrs net loss vs loss revs vs	earn
united financial banking lt ufbc st qtr net shr four ct vs ct net vs note full name united financial banking cos inc net include loan loss provision nil vs dlrs	earn
monsanto lt mtc acquire rhone poulenc asset monsanto co say acquire certain commerical asset lt rhone poulenc chimie polyphenyl business term transaction disclose among asset acquire polyphenyl business worldwide include biphenyl heat transfer fluid gilotherm th together associated manufacturing application technology monsanto say	acq
sri lanka postpone eep wheat tender trade sri lanka postpone november tender tonne wheat export bonus program originally schedule today u.s . exporter say	grain
pentron corp lt pen unit buy ice creation pentron corp say rotational molding inc unit purchase privately hold ice creation unlimited undisclosed amount cash consideration company say ice creation sale mln dlrs year end may ice creation molder plastic	acq
ameritrust lt amtr propose stock split ameritrust corp say board propose two one split common subject stockholder approval may annumal meeting company also say intend recommend increase annual regular dividend least two dlrs per share split begin may dividend current annual payout dlr per share ameritrust currently mln share outstanding mln authorized share say shareholder will ask approve increase authorized common mln share ameritrust also say will submit shareholder approval amendment company charter regard liability indemnification director recommendation create classified board ameritrust total year end asset billion dlrs	earn
jewelmaster lt jem see net estimate jewelmasters inc say expect report net income year end january pct analyst estimate dlrs ct per share jewelmaster sale sale year just end mln dlrs prior year earn dlrs sale mln dlrs jewelmaster say net income year hurt disappointing sale december january high level advertising spending fourth quarter high expect opening expense additional unit adjustment inventory associate shift comprehensive inventory system jewelmaster say expect report audit result fourth quarter year three week	earn
guinness sell retail interest guinness plc lt guin say part new strategy company will sell retail interest concentrate resource develop international beverage business among firm sell martin gordon drummond pharmacy eleven convenience store speciality u.s . food importer richter brother health product company nature good dsl guinness say statement company strength well known beer spirit brand several good brand development potential include gleneagle champney crank hediard guinness publication guinness share trade announcement close yesterday	acq
atico financial corp lt atfc th qtr net shr ct vs dlrs net vs mln revs mln vs mln year shr ct vs dlrs net vs mln revs mln vs mln note th qtr yr amount include acquisition pct common atico formerly peninsula federal saving loan association january th qtr yr net include net gain mln dlrs dlrs per share exchange common pan america banks inc common ncnb corp purusant merger company	earn
sedgwick buy bsi incorp sedgwick group plc lt sdwk say wholly canadian subsidiary sedgwick tomenson inc acquire bsi incorp maximum eight mln canadian dlrs fund will raise issue mln ordinary sedgwick share vendor bsi later january share already issue bsi privately hold canadian company involve actuarial employee executive benefit consulting administration pretax profit exclude extraordinary item total mln canadian dlrs	acq
reebok international limited lt rbk st qtr shr ct vs ct net mln vs mln revs mln vs mln avg shrs mln vs mln note st quarter amount include sale avia group international inc acquire end first quarter st quarter revenue include rockport revenue mln dlrs st quarter amount include rockport reebok acuqire company october	earn
guardian royal profit sharply mln stg year dec shr profit vs loss final div make vs total pretax profit mln stg vs mln general underwriting loss short term business vs note company full name guardian royal assuance plc lt grex underwriting profit long term insurance business mln stg vs mln loss discontinue international professional indemnity business nil vs mln stg investment income mln stg vs mln less interest payable mln stg vs mln tax mln stg vs mln minority mln stg vs mln extraordinary item contingency claim provision discontinue international business nil vs mln stg	earn
sierra health services inc lt sie th qtr loss shr loss ct vs profit six ct net loss vs profit revs mln vs mln year shr loss dlrs vs profit ct net loss vs profit revs mln vs mln	earn
qms inc lt aqm th qtr oct net shr ct vs ct net vs rev mln vs mln avg shrs vs year shr ct vs ct net vs rev mln vs mln avg shrs vs	earn
trans world airlines lt twa file usair lt trans world airlines say tell security exchange commission intend seek control usair group acquire stock time twa also say amend application department transportation seek control usair amendment say twa reserve right seek control usair future intend maintain pct stake also seek flexibility acquire pct usair twa say usair stock voting trust vote proportion vote usair shareholder twa file security exchange commission report holding share usair twa say stake amount pct twa also say order federal court pittsburgh temporarily bar buy additional share usair pende hearing march reconsider usair application expand temporary restraining order preliminary injunction	acq
hondura authorize buy pl commodity hondura authorize buy tonne u.s . wheat tonne u.s . corn tonne u.s . tallow exist pl agreement u.s . agriculture department say department say may buy wheat value mln dlrs corn value mln tallow value mln dlrs march august ship u.s . port canadian transshipment point september purchase authorization cover entire quantity provide agreement sign march	grain
arco sell two agricultural research operation atlantic richfield co say sell plan cell research institute unit arco seed co operation two transaction undisclosed price company say sell dublin calif base plant cell research montedision spa milan italy arco seed co u.f . genetics hollister calif atlantic richfield say divestiture line policy focus resource oil gas chemical coal operation	acq
cetec corp lt cec th qtr net oper shr two ct vs eight ct oper net vs sale vs year oper shr ct vs ct oper net vs sale mln vs mln note current qtr year figure exclude loss discontinued operation dlrs ct per share prior qtr year figure exclude loss discontinue operation mln dlrs ct per share mln dlrs dlrs per share respectively	earn
exchange rate almost within level sumita bank japan governor satoshi sumita say current exchange rate almost within level agree six major nation last month paris ask whether dollar yen rate reflect economic fundamental say current rate almost reflect fundamental sumita tell reporter major nation cooperate bring currency stability line paris agreement stipulate closely cooperate end repeat central bank will intervene necessary add think dollar free fall likely sumita say say exactly currency level consider line underlie economic fundamental paris february britain canada france japan u.s . west germany agree cooperate hold currency around current level sumita say find specific reason behind fall dollar record low yen yesterday say market rush sell dollar nervously react statement abroad development surround trade tension u.s . treasury secretary james baker say weekend paris pact encompass fix traget dollar u.s . trade representative clayton yeutter call japan relation certain key trade issue strain market react nervously dollar move narrowly yen since mid january sumita say add expect yen dollar exchange rate remain unstable market concerned sharp rise yen bank japan will keep close watch exchange rate line paris accord add	money-fx
jem record inc lt jemr nd qtr jan shr three ct vs seven ct net mln vs rev mln vs mln six month shr five ct vs ct net vs rev mln vs mln	earn
group may support cardis corp lt cd buyout group company control brookehill partners inc tell government authority may support buyout cardis corp way maximize value company stock filing securities exchange commission group disclose currently hold pct stake cardis common stock say likely support acquisition company whole part another party term move likely mean company shareholder maximize value investment although group characterize cardis stock holding principally investment say intend contact third party might interested acquisition cardis los angeles base auto part distributor group add already contact concern company say understanding reach cardis common share continue offer opportunity price appreciation basis company asset value earning momentum brookehill group tell sec group currently hold cardis common share consist new york base brookehill partner two subsidiary brookehill equities inc brokerage moore grossman derose inc investment advisor walter grossmman edward moore robert derose new york one third interest brookehill partner since april member brookehill group make net purchase cardis common share approximately dlrs share group tell sec may continue purchase additional cardis stock also reserve right sell share company	acq
general cinema corp lt gcn class dividend qtly div class ct vs ct pay april record april	earn
wall street stocks ich corp lt ich ich corp stock continue pressure low earning expectation wall street analyst say stock one today four since thursday ich announce report low expect fourth quarter net income company say report full year net income dlrs per share compare dlrs per share analyst say estimate net dlrs now look dlr dlr range ich official unavailable comment	earn
hmo america lt hmoa agree acquire hmo america inc say sign letter intent mount sinai medical center affiliate provide common preferred stock acquire new profit company control mount sinai chicago area profit hospital may elect participate acquisition form transaction yet determine say accord term hmo shareholder receive combination cash debt security issue buyer exchange outstanding share common preferred stock say amount cash per share yet determine add arrangement financing yet make can assurance financing will receive hmo say close propose transaction complete expect november say	acq
gencorp say agreement sell rko picture terminate gencorp say agreement sell rko picture terminate	acq
jefferie make market usair lt jefferie co say make market stock usair group inc usair receive offer trans world airline buy airline dlrs cash per share usair halt new york stock excahnge dissemination news indicate	acq
monsanto co lt mtc rd qtr net shr dlrs vs dlrs net vs sale billion vs billion nine mth shr dlrs vs dlrs net vs sale billion vs billion note figure include mln dlrs ct share net gain facility business sell shut impaired non recur income expense	earn
banner lt bnr complete rexnord share purchase banner industries inc say complete previously announce purchase rexnord inc lt rex say pct rexnord outstanding follow purchase rexnord common validly tender pursuant dlr per share cash tender offer end february banner also say receive mln dlrs pursuant credit agreement lt citicorp industrial credit inc lt bank nova scotia mln dlrs offering make drexel burnham lambert inc merger rexnord subsidiary banner will copmlete mid may company say	acq
washington post co lt wpo rd qtr net shr dlrs vs dlrs net mln vs mln revs mln vs mln nine mth shr dlrs vs dlrs net mln vs mln revs mln vs mln note net period include gain mln dlrs dlrs share sale interest detroit cellular telephone company mln dlrs ct share sale interest sportschannel cable program network	earn
brazil sarney meet strike show force troop place brazil port oil installation government prersident jose sarney today seek end wave labour unrest show force yesterday government send thousand troop support instance tank occupy nine oil refinery six area oil production state oil company petrobra request intervention threaten strike oil industry employee government already dispatch marine occupy country main port national seaman strike rule illegal last friday strike seaman now th day represent stern challenge government stoppage delay export time brazil desperately need foreign exchange deterioration country trade balance precipitate brazil current debt crisis decision february suspend interest payment billion dlrs commercial debt sign today early end seaman strike badly hit port santo important south america country main port small group marine arm submachinegun stand quay near strike bind ship military presence generally discreet total marine inside dock sight yesterday marine police occupy one ship docemarte seamen leader say explain captain striker face one year jail strike illegal man return work one strike leader elmano barbosa say psychological war use force use peaceful method port source say two brazilian ship santo docemarte henrique leal work seamen national strike headquarters rio de janeiro spokesman say total ship strike bind brazil foreign port contradict early report strike headquarters rio de janeiro seaman santo say striker board ship run food current labour unrest bad face sarney civilian government since come power two year ago yesterday separate protest hundred thousand farmer hold rally direct largely high bank interest rate current rash labour unrest industry agriculture stem failure government now collapse cruzado plan price freeze	crude
southeast banking corp lt stb declare qtly div qtly div ct vs ct prior pay april record march	earn
laidlaw declare three two split boost payout ct shr four ct laidlaw declare three two split boost payout ct shr four ct	earn
np energy lt npeeq say trustee appoint np energy corp say u.s . bankruptcy court indicate will appoint trustee oversee company chapter bankruptcy proceeding say hope appointment will thwart hostile action pursue two unsecured creditor whose claim company object np far say nielsen well duchesne county utah test barrel oil per day np pct work interest	crude
circle express terminate plan acquisition overland express circle express terminate plan acquisition overland express	acq
burmah oil prospect remain favourable current year open well trading prospect remain favourable burmah oil co plc lt burm say statement result company plan maintain steady rate investment marketing operation obtain improved profit margin liquified natural gas lng project burmah financial capacity continue make acquisition within business sector add rationalisation programme include sale bahama oil terminal peripheral activity now complete pre tax profit rise mln stg mln reuter	earn
komatsu ltd lt komt year group shr yen vs net billion vs billion pretax billion vs billion operating billion vs billion sale billion vs billion note company forecast current year group net billion sale billion	earn
rexham lt rxh repurchase stake nortek lt ntk rexham corp say repurchase share pct nortek inc dlrs nortek withdraw proposal acquire rexham dlrs per share rexham say nortek also agree buy rexham share take action year standstill agreement rexham board reject nortek bid inadequate company also say board authorize repurchase open market privately time time additional five pct share establishment employee stock ownership plan plan expect purchase rexham new convertible preferred stock pct rexham voting power proceed pension plan overfunde borrowing	acq
b.c . resource agreement credit facility lt british columbia resources investment corp early report high full year operating loss say reach agreement principle five lender provide mln dlr credit facility four year term company say credit facility extendable certain circumstance annual principal payment five mln dlrs agreement subject certain lender approval completion formal documentation early report loss extraordinary item rise mln dlrs year ago mln dlrs b.c . resources also say dividend series preferred share exchangeable preferred share will remain suspend however payment will make account quarterly dividend exchangeable preferred share company trustee deposit account b.c . resources say sufficient fund available pay full amount march dividend exchangeable preferred shareholder payment expect early april shareholder record march company say future dividend declare april exchangeable preferred quarterly payout future payment will depend amount dividend receive westcoast transmission co lt wtc b.c . resources say company say increase fourth quarter full year operating loss primarily result low oil price four month labor shutdown balmer coal mine british columbia b.c . resource also record mln dlr extraordinary loss include loss disposition north sea oil gas interest pct lt westar mining ltd b.c . resources extraordinary charge also include writedown investment westar petroleum gain sale westar timber skeena celgar pulp mill terrace sawmill partially offset extraordinary loss company say company say asset sale eliminate b.c . resource long term financing commitment north sea exposure fluctuate pulp market also say cut long term debt mln dlrs billion dlrs year end management change staff cut significantly reduce cost	earn
goody products inc lt good year end oper net oper shr vs ct oper net vs rev mln vs mln note oper net exclude loss dlrs profit dlrs respectively discontinued operation earning per shr restate reflect stock split effective july one	earn
japan fund lt jpn seeker confident finance lt sterling grace capital management l.p . group say confident financing can arrange japan fund board recommend group acquisition proposal group also include lt anglo american security fund l.p . t.b . pickens iii tuesday propose entity control acquire cash asset japan fund pct fund aggregate net asset value group say number meeting past day domestic overseas financial institution sterling grace capital group say certain institution express serious interest provide financing propose acquisition japan fund add reasonably confident financing can quickly arrange japan fund board director willing recommend transaction shareholder	acq
vhc ltd lt vhcl th qtr oper net oper shr profit ct vs loss one ct oper net profit vs loss revs vs na year oper shr profit ct vs loss ct oper net profit vs loss revs mln vs na avg shrs vs note exclude gain dlrs ct dlrs ct current qtr year respectively benefit tax loss carryforward year ago exclude loss dlrs four ct qtr dlrs eight ct year discontinue operation restate	earn
texas eastern corp lt tet rd qtr net shr profit three ct vs profit ct net profit vs profit mln nine mth shr profit dlrs vs loss ct net mln vs loss mln note rd qtr nine month include profit mln dlrs loss mln dlrs discontinued operation earning per share report payment preferred stock dividend subsidiary	earn
sunstates corp lt sust th qtr shr loss dlrs vs loss dlrs net loss mln vs loss mln year shr loss dlrs vs loss dlrs net loss vs loss mln note loss include loss discontinued oepration vs loss mln dlrs net mln credit th qtr include loss mln dlrs discontinued operation share amts relfect dividend requirement	earn
norstar shareholder get fleet financial shrs per norstar share merger norstar shareholder get fleet financial shrs per norstar share merger	acq
lt digigraphic systems corp th qtr oper loss oper shr loss one ct vs loss seven ct oper net loss vs loss revs vs avg shrs vs year oper shr loss ct vs loss dlrs oper net loss vs loss revs vs avg shrs vs note earning exclude loss discontinue operation dlrs three ct share vs dlrs two ct share quarter loss dlrs ct share vs dlrs seven ct share year year earning exclude gain early extinguishment debt dlrs dlrs share	earn
group boost scandinavia fund lt scf stake shareholder group lead swedish investment firm norwegian investor say raise stake scandinavia fund inc share pct total share pct filing securities exchange commission group include ingemar rydin industritillbehor ab firm investor erik martin vik say buy additional share feb march	acq
seek canadian fund heavy oil test lt ors corp say lt dominion securities alberta inc appoint offer common share new canadaina company organize exploit heavy oil production opportunity canada western europe say offer private sale stock make good effort basis design raise five mln canadian dlrs new company will invest property project use electromagnetic well stimulation process develop iit research institute sponsorship	crude
lle royalty lt lrt set monthly payout ll royalty trust say monthly dividend january unitholder will ct per unit payable april holder record april six previously report pende ruling internal revenue service trust distribution may reduce dlr per unit plus interest spread life productive property trust interest lle say work interest owner irs send notice deficiency owner tax return evaluate necessity escrowe fund significantly reduce royalty pay trust	earn
roto rooter inc lt roto st qtr net shr ct vs ct net vs rev mln vs	earn
lt hudson bay co th qtr net end january oper shr profit dlrs vs profit dlrs oper net profit mln vs profit mln rev billion vs billion year oper shr profit ct vs loss dlrs oper net profit mln vs loss rev billion vs billion note exclude writeoff mln dlrs primarily due investment dome petroleum ltd lt dmp	earn
explosion bp oil refinery scotland explosion follow fire rip british petroleum bp oil refinery kill one man bp spokesman say fire confine one plant acre refinery grangemouth miles west edinburgh cause extent damage yet determine two people kill previous explosion fire plant march incident still investigate spokesman say	crude
investor disappoint caesar lt caw response investor martin sosnoff say statement disappoint caesars world inc response dlrs share offer buy company company say offer inadequate explore restructuring sale company another party sosnoff say believe offer fair shareholder primary desire still sit management negotiate friendly acquisition say	acq
